speaker,global_session,conference,total_utterances,total_explanations,total_decisions,total_new_ideas,total_self_intros,total_minutes_spoken,first_minute,last_minute
Mathieu Lapotre,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,12,2,0,0,2,543.0,10.683333333333334,18.166666666666668
Ali Keshavarzian,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,40,1,0,0,1,539.0,11.2,19.1
Matt Bogyo,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,84,1,0,0,4,534.0,9.7,17.816666666666666
Elizabeth Bess,2021_04_23_MND_S13_MND,2021_04_23_MND_S13,29,1,0,0,8,527.0,10.016666666666667,19.583333333333332
Eliza Kempton,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,23,3,0,0,6,522.0,10.1,16.766666666666666
Lauren Charles,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,31,1,0,0,3,506.3,10.75,18.883333333333333
Lisa Osborne,2021_04_23_MND_S13_MND,2021_04_23_MND_S13,23,1,0,0,5,503.0,10.016666666666667,19.566666666666663
Jay Forsythe,2021_06_11_SLU_S2_SLU,2021_06_11_SLU_S2,26,1,0,0,6,502.0,9.95,18.95
Christine K Johnson,2021_10_01_MZT_S9_MZT,2021_10_01_MZT_S9,54,0,0,0,4,500.0,9.916666666666666,15.933333333333334
Thomas Mansell,2021_04_23_MND_S13_MND,2021_04_23_MND_S13,32,0,0,0,4,499.0,10.016666666666667,19.866666666666667
Curt Horvath,2021_10_01_MZT_S8_MZT,2021_10_01_MZT_S8,42,2,0,0,2,495.0,10.183333333333334,18.5
Carolyn Bayer,2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15,43,2,0,0,6,490.0,10.25,21.116666666666667
Candace Fleischer,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,22,3,0,0,3,488.0,10.016666666666667,19.383333333333333
Amanda Stockton,2021_06_11_SLU_S2_SLU,2021_06_11_SLU_S2,37,1,0,0,12,487.0,10.083333333333334,18.95
Claudia Herrera,2021_10_01_MZT_S1_MZT,2021_10_01_MZT_S1,41,0,0,0,4,487.0,9.983333333333333,19.016666666666666
Dana Mitzel,2021_10_01_MZT_S11_MZT,2021_10_01_MZT_S11,12,2,0,0,2,475.0,10.35,16.85
Leslie Rogers,2021_06_11_SLU_S13_SLU,2021_06_11_SLU_S13,15,1,0,0,1,469.0,10.25,19.5
Mark Sellmyer,2021_05_21_ABI_S8_ABI,2021_05_21_ABI_S8,27,0,0,0,0,468.0,10.016666666666667,18.966666666666665
Lisa Osborne,2021_04_23_MND_S8_MND,2021_04_23_MND_S8,15,3,0,0,3,467.0,10.05,19.966666666666665
Katherine de Kleer,2021_06_11_SLU_S9_SLU,2021_06_11_SLU_S9,37,0,0,0,6,465.0,10.066666666666666,19.3
Linda Detwiler,2021_10_01_MZT_S2_MZT,2021_10_01_MZT_S2,76,2,0,0,7,462.0,10.016666666666667,19.466666666666665
Dr. Ali Keshavarzian,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,55,1,0,0,1,449.0,12.45,19.383333333333333
Jay Forsythe,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,18,3,0,0,9,439.0,10.0,19.666666666666668
Carolyn Bayer,2021_05_21_ABI_S11_ABI,2021_05_21_ABI_S11,25,2,0,0,3,430.0,10.016666666666667,19.416666666666668
Angad Mehta,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,34,1,0,0,1,424.0,9.95,19.55
