predictor,coef,std_err,p_value,ci_low,ci_high,model,n_obs,llf,llnull,pseudo_r2,llr_pvalue
p_overlaps,-0.21236321389108073,0.4085869545470999,0.6032375865492652,-1.0131789293563007,0.5884525015741392,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_screenshare_segments,0.035591084776559534,0.03597669484204773,0.3225253494054806,-0.03492194139664194,0.10610411094976101,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_smile_other_total,0.0018526998484840352,0.0015426583090589726,0.2297594442395806,-0.001170854877723011,0.004876254574691081,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_smile_self_total,-0.0004581251269788037,0.0012816243579673267,0.7207499867688325,-0.0029700627103040338,0.0020538124563464267,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_speaking_duration_sec,0.0012552852175544444,0.0026494632890724373,0.6356507414554973,-0.003937567407388567,0.006448137842497455,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_turns,0.2165976088641385,0.16453184345776178,0.18802373582767817,-0.1058788786230567,0.5390740963513337,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
Intercept,10.740668531084848,5.232058688910945,0.04008644422939114,0.4860219358195419,20.995315126350157,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(conference)[T.CMC],1.2626573420102842,1.1638974037070928,0.27798686166602415,-1.018539650955293,3.5438543349758618,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(conference)[T.MND],0.26986911417528536,0.6232023501483824,0.6649885450970415,-0.9515850471962641,1.4913232755468349,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(conference)[T.MZT],1.763578009563058,0.8215300994043095,0.03181723627717791,0.15340860251500077,3.373747416611115,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
