Term,Coef (SE),CI 2.5%,CI 97.5%,p-value,N,Pseudo R2,LLR p
ann_knowledge_sharing_mean_score,-8.768 (3.197),-15.033474150248963,-2.5034156420403333,0.00609,273,0.4455179498917352,2.6252123985744337e-17
ann_knowledge_sharing_sum_score,0.32 (0.138),0.05001510079091526,0.590536827712502,0.0202,273,0.4455179498917352,2.6252123985744337e-17
ann_none_count,0.101 (0.081),-0.058294750872025985,0.2600390686688735,0.214,273,0.4455179498917352,2.6252123985744337e-17
ann_participation_dynamics_count,-0.066 (0.25),-0.5556848449092052,0.4228320629083137,0.79,273,0.4455179498917352,2.6252123985744337e-17
ann_participation_dynamics_mean_score,-0.362 (0.717),-1.76660437951258,1.0428088506328672,0.614,273,0.4455179498917352,2.6252123985744337e-17
ann_participation_dynamics_sum_score,-0.109 (0.21),-0.5194435893444873,0.3018037841916763,0.603,273,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_count,0.055 (0.077),-0.09604616147833797,0.20573430401297163,0.476,273,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_mean_score,0.394 (1.097),-1.75588635279659,2.543146841082581,0.72,273,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_sum_score,-0.09 (0.062),-0.21196593615507325,0.03257084913095154,0.15,273,0.4455179498917352,2.6252123985744337e-17
p_interruptions_made,-0.003 (0.055),-0.11155285887317438,0.10560443074675767,0.957,273,0.4455179498917352,2.6252123985744337e-17
p_nods_received,-0.135 (0.067),-0.26587392364036155,-0.003186014761741157,0.0447,273,0.4455179498917352,2.6252123985744337e-17
p_overlaps,-0.014 (0.121),-0.251919165994276,0.22329524448735125,0.906,273,0.4455179498917352,2.6252123985744337e-17
p_screenshare_segments,-0.01 (0.02),-0.04977875062771131,0.02944473864331421,0.615,273,0.4455179498917352,2.6252123985744337e-17
p_smile_other_total,0.0 (0.001),-0.0009604038425788938,0.0012821371665234955,0.779,273,0.4455179498917352,2.6252123985744337e-17
p_smile_self_total,0.0 (0.0),-0.0007501496365970989,0.0012068663369298697,0.647,273,0.4455179498917352,2.6252123985744337e-17
p_speaking_duration_sec,0.0 (0.001),-0.0012532738368385332,0.0019501487622247445,0.67,273,0.4455179498917352,2.6252123985744337e-17
p_turns,0.001 (0.052),-0.1020430381286937,0.10357029510078436,0.988,273,0.4455179498917352,2.6252123985744337e-17
