conference,session,n_utterances,n_speakers,max_time,Beginning,Middle,End,Idea_Management,Information_Seeking,Knowledge_Sharing,Evaluation_Practices,Relational_Climate,Participation_Dynamics,Coordination_and_Decision_Practices,Integration_Practices,KS_total_utterances,KS_streak_count,KS_max_streak_len,KS_mean_streak_len,KS_beginning,KS_middle,KS_end,KS_first_minute,KS_last_minute,KS_mean_minute,n_transitions,n_unique_pairs,transition_entropy,KS_to_KS,KS_to_Idea,Idea_to_KS,KS_to_Eval,Eval_to_KS,KS_to_Info,Info_to_KS,KS_to_Rel,Rel_to_KS,n_teams,n_funded,funded_any
2021SLU,2021_06_11_SLU_S7,199,11,4604,69.0,47.0,83.0,43,39,74,18,49,22,39,11,74,44,4,1.6818181818181819,25,21,28,0.7,76.45833333333333,39.8143018018018,495,64,5.554967340223602,31,22,21,11,5,17,26,19,15,0,0,0
2021SLU,2021_06_11_SLU_S8,262,10,4597,98.0,51.0,113.0,55,69,93,22,57,22,31,7,93,61,4,1.5245901639344261,40,21,32,0.4083333333333333,75.95,36.5336917562724,564,58,5.266009611520685,38,23,27,12,11,34,38,17,13,0,0,0
2021SLU,2021_06_11_SLU_S9,260,9,4431,104.0,79.0,77.0,47,46,92,28,42,34,39,3,92,51,6,1.803921568627451,36,33,23,0.2,73.84166666666667,33.92490942028985,550,54,5.391697061249812,48,22,20,20,12,15,26,15,17,0,0,0
2022MND,2022_04_07_MND_S1,283,12,4500,86.0,64.0,133.0,50,37,109,35,63,7,33,4,109,55,7,1.981818181818182,39,34,36,1.4833333333333334,74.7,36.20619266055046,524,56,5.0697969683932955,66,27,31,19,21,25,21,15,18,0,0,0
2022MND,2022_04_07_MND_S2,271,11,4457,109.0,54.0,108.0,47,53,104,33,65,18,46,14,104,52,8,2.0,43,27,34,1.3416666666666666,73.13333333333334,33.686618589743595,600,63,5.44370783549977,55,26,21,15,15,21,25,24,25,0,0,0
2022MND,2022_04_07_MND_S3,141,11,4455,64.0,29.0,48.0,39,26,72,19,33,15,16,6,72,30,17,2.4,30,21,21,0.25,73.75833333333334,33.48240740740741,419,57,5.350211654547298,42,20,22,11,11,18,13,17,18,0,0,0
2022MND,2022_04_07_MND_S4,257,10,4483,91.0,58.0,108.0,32,51,100,12,59,22,36,5,100,55,9,1.8181818181818181,38,31,31,0.15,74.43333333333334,35.42091666666667,459,56,5.10631399356106,49,17,19,7,8,28,28,25,25,0,0,0
2022MND,2022_04_07_MND_S5,258,12,4431,71.0,64.0,123.0,34,45,87,18,49,21,32,12,87,52,6,1.6730769230769231,24,31,32,0.2833333333333333,73.06666666666666,38.30622605363985,443,57,5.310871913117805,43,18,16,9,9,25,25,20,18,0,0,0
2022MND,2022_04_07_MND_S6,234,9,4427,91.0,62.0,81.0,27,59,116,14,47,15,25,6,116,50,8,2.32,44,38,34,0.225,71.65,33.25079022988506,460,59,5.006983753366464,74,14,14,8,5,33,37,24,16,0,0,0
2022MND,2022_04_08_MND_S1,230,10,4416,84.0,56.0,90.0,35,46,92,19,31,11,36,7,92,50,12,1.84,42,26,24,0.6583333333333333,73.425,33.70960144927537,431,58,5.265169660785012,52,20,18,8,10,19,27,15,13,0,0,0
2022MND,2022_04_08_MND_S10,197,5,4326,87.0,48.0,62.0,26,39,82,16,37,15,13,3,82,50,11,1.64,40,21,21,0.24166666666666667,71.975,30.398577235772354,345,56,5.0687681084663225,43,14,12,10,7,23,26,19,21,0,0,0
2022MND,2022_04_08_MND_S11,211,10,4381,71.0,63.0,77.0,18,46,86,22,40,18,46,7,86,41,7,2.097560975609756,30,36,20,1.2083333333333333,65.66666666666667,33.51395348837209,447,61,5.28094751764238,51,12,10,16,11,21,27,18,15,0,0,0
2022MND,2022_04_08_MND_S12,12,4,68,3.0,4.0,5.0,0,3,2,0,1,0,2,0,2,2,1,1.0,1,0,1,0.03333333333333333,1.0916666666666666,0.5625,7,7,2.807354922057604,0,0,0,0,0,1,1,0,0,0,0,0
2022MND,2022_04_08_MND_S2,312,10,4279,92.0,109.0,111.0,51,38,107,32,77,18,50,12,107,62,6,1.7258064516129032,33,41,33,0.25,70.69166666666666,34.563940809968855,583,60,5.326402673538731,53,23,30,16,14,16,24,23,24,0,0,0
2022MND,2022_04_08_MND_S3,281,8,4294,128.0,43.0,110.0,59,38,114,30,46,2,26,2,114,56,7,2.0357142857142856,56,18,40,0.25833333333333336,70.78333333333333,32.97697368421053,486,47,4.823974462272608,71,24,26,19,20,19,21,18,22,0,0,0
2022MND,2022_04_08_MND_S4,216,12,4354,76.0,60.0,80.0,50,33,90,22,69,16,17,5,90,45,13,2.0,32,29,29,0.7666666666666667,72.43333333333334,35.28138888888889,535,55,5.125942623041512,48,32,35,11,12,19,22,30,30,0,0,0
2022MND,2022_04_08_MND_S5,255,12,4338,103.0,46.0,106.0,37,35,115,11,63,27,36,7,115,51,11,2.2549019607843137,53,26,36,0.08333333333333333,72.16666666666667,34.63405797101449,524,58,5.163295968470278,75,22,18,7,5,12,20,27,26,0,0,0
2022MND,2022_04_08_MND_S6,6,3,64,3.0,2.0,1.0,0,0,1,0,1,0,2,0,1,1,1,1.0,0,0,1,0.8,0.8,0.8,3,3,1.584962500721156,0,0,0,0,0,0,0,0,0,0,0,0
2022MND,2022_04_08_MND_S7,259,11,4443,97.0,69.0,93.0,69,48,87,27,47,24,43,5,87,47,5,1.851063829787234,41,25,21,0.38333333333333336,72.30833333333334,30.631130268199232,589,59,5.411725936466938,45,26,25,14,10,19,26,15,15,0,0,0
2022MND,2022_04_08_MND_S8,365,10,4391,78.0,156.0,131.0,36,60,128,25,69,19,31,4,128,72,9,1.7777777777777777,35,50,43,0.575,72.2,38.857031250000006,546,53,5.109418776088461,67,18,14,12,9,31,32,34,28,0,0,0
2022MND,2022_04_08_MND_S9,273,9,4436,87.0,81.0,105.0,37,49,123,16,53,21,42,6,123,71,7,1.732394366197183,40,39,44,0.5083333333333333,73.51666666666667,38.34688346883469,545,56,5.12693931316425,65,26,23,13,12,27,36,25,28,0,0,0
