conference,session,is_burst,n,n_decision,mean_burst
2021_06_11_SLU_S5,2021_06_11_SLU_S5,False,507,25,0.0
2021_06_11_SLU_S6,2021_06_11_SLU_S6,False,506,50,0.0
2021_06_11_SLU_S7,2021_06_11_SLU_S7,False,485,24,0.0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,False,577,45,0.0
2021_06_11_SLU_S9,2021_06_11_SLU_S9,False,566,23,0.0
2021_09_30_MZT_S2,2021_09_30_MZT_S2,False,318,17,0.0
2021_09_30_MZT_S3,2021_09_30_MZT_S3,False,310,48,0.0
2021_09_30_MZT_S4,2021_09_30_MZT_S4,False,291,42,0.0
2021_09_30_MZT_S5,2021_09_30_MZT_S5,False,332,62,0.0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,False,79,6,0.0
2021_09_30_MZT_S7,2021_09_30_MZT_S7,False,1079,135,0.0
2021_10_01_MZT_S1,2021_10_01_MZT_S1,False,424,79,0.0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,False,374,38,0.0
2021_10_01_MZT_S2,2021_10_01_MZT_S2,False,466,60,0.0
2021_10_01_MZT_S3,2021_10_01_MZT_S3,False,639,74,0.0
2021_10_01_MZT_S4,2021_10_01_MZT_S4,False,543,88,0.0
2021_10_01_MZT_S7,2021_10_01_MZT_S7,False,410,26,0.0
2021_10_01_MZT_S8,2021_10_01_MZT_S8,False,403,41,0.0
2021_10_01_MZT_S9,2021_10_01_MZT_S9,False,432,65,0.0
