u,t,speaker,best_sim
64,432.83333333333337,Luke Mortensen,0.38191384077072144
65,438.5,Luke Mortensen,0.554356038570404
66,444.16666666666663,Luke Mortensen,0.36223742365837097
67,448.5,Luke Mortensen,0.623464822769165
68,450.5,Sixian You,0.27907323837280273
69,464.5,Luke Mortensen,0.2326984405517578
70,479.5,Luke Mortensen,0.6616277098655701
71,494.5,Luke Mortensen,0.495624840259552
72,504.0,Luke Mortensen,0.3546484410762787
73,511.125,Steve Jett,0.27921628952026367
74,519.375,Steve Jett,0.2571853995323181
75,527.625,Steve Jett,0.3964647054672241
76,535.875,Steve Jett,0.5408333539962769
77,553.5,Steve Jett,0.5416933298110962
78,568.5,Steve Jett,0.3425104320049286
79,575.0,Steve Jett,0.2918831706047058
80,585.0,Steve Jett,0.43377673625946045
81,592.0,Steve Jett,0.44580432772636414
82,597.0,Steve Jett,0.33398592472076416
83,601.5,Brad Smith,0.24758495390415192
84,608.6,Brad Smith,0.5219470858573914
85,619.8,Brad Smith,0.6251511573791504
86,631.0,Brad Smith,0.27232757210731506
87,642.2,Brad Smith,0.2597799599170685
88,653.4,Brad Smith,0.5620564818382263
89,662.5,Brad Smith,0.31845641136169434
90,672.5,Barbara Smith,0.19456270337104797
91,676.0,Brad Smith,0.30943626165390015
92,678.0,Brad Smith,0.7916274070739746
93,680.0,Brad Smith,0.22386105358600616
94,688.5,Brad Smith,0.30922454595565796
95,697.75,Brad Smith,0.42157605290412903
96,701.25,Brad Smith,0.3008837401866913
97,711.0,Brad Smith,0.3948749303817749
98,722.5,Brad Smith,0.48934733867645264
99,730.25,Brad Smith,0.4161250591278076
100,738.75,Brad Smith,0.5729210376739502
101,750.0,Brad Smith,0.32977575063705444
102,754.0,Brad Smith,0.2642189860343933
103,767.75,Yevgenia Kozorovitskiy,0.659493088722229
104,775.25,Yevgenia Kozorovitskiy,0.6866260170936584
105,782.0,Brad Smith,0.4353911578655243
106,787.0,Yevgenia Kozorovitskiy,0.5047075748443604
107,793.5,Yevgenia Kozorovitskiy,0.4472998380661011
108,805.75,Brad Smith,0.40323734283447266
109,818.0,Brad Smith,0.5847581028938293
110,835.6666666666667,Yevgenia Kozorovitskiy,0.34826430678367615
111,849.0,Yevgenia Kozorovitskiy,0.34894394874572754
